category,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
tv_celebridades,104,86,71,1,11,0,29,9,3,1,1,0,5,2.25,393,10.75,4.56977,0.0,0.0,2.0,0.02429642714560032,0.03452927991747856,,0.04076922365597317,FAKE
politica,589,497,239,3,87,4,143,17,20,10,6,0,33,3.40741,2505,18.4074,5.04024,0.0,0.0,5.0,0.007537045205632845,0.003747745184227824,0.009501962799250205,0.00894000260159373,TRUE
sociedade_cotidiano,349,294,182,3,60,1,72,19,24,4,0,0,29,2.75,1477,14.7,5.02381,0.0,-0.10000000149011612,5.9000000953674325,0.017963600677571127,0.025550090940669186,0.022776506375521414,0.01677589921746403,TRUE
politica,1321,1168,509,10,170,5,349,29,51,26,0,0,63,2.83333,5977,21.6296,5.1172900000000014,0.0,0.10000000149011612,11.199999809265137,0.0026473175942859,0.003164907051541377,0.003084165379263912,0.003746863395418422,TRUE
politica,169,140,88,3,17,0,35,5,8,2,0,0,7,1.2608700000000002,585,6.08696,4.17857,0.0,0.20000000298023224,3.5,0.08993565291166307,0.012178962584584951,0.02329141413792968,0.02514341256270806,FAKE
tv_celebridades,146,130,101,0,24,0,41,5,4,4,0,0,4,2.28571,628,18.5714,4.8307699999999985,0.0,0.10000000149011612,1.399999976158142,0.041987776135404914,0.02007906666646401,0.01653040130622685,0.02514255618942636,FAKE
tv_celebridades,539,455,263,2,57,0,140,35,17,10,0,0,28,3.11111,2335,16.8519,5.131869999999998,0.0043956,0.10000000149011612,5.199999809265137,0.0075565094760219964,0.009944416210055351,0.002969944616779685,0.006549226754206292,FAKE
sociedade_cotidiano,31,28,21,1,5,0,11,1,0,0,0,0,1,1.0,128,9.33333,4.57143,0.0,0.10000000149011612,0.30000001192092896,0.05617326870560646,0.044266436249017715,0.030974427238106724,0.09609217122197153,FAKE
politica,192,165,105,8,22,0,52,8,6,4,0,0,4,2.7,786,16.5,4.7636400000000005,0.0,0.0,0.8999999761581421,0.01445362251251936,,0.02299574403358357,0.025286291725933552,FAKE
politica,1072,921,430,5,140,5,247,58,54,26,0,0,47,4.08108,4568,24.8919,4.95983,0.0,0.0,6.5,0.003987328814970249,0.002573426521848887,0.006170223720671077,0.0026562260008295593,TRUE
tv_celebridades,589,545,335,11,54,0,200,20,7,3,0,0,15,4.88889,2581,60.5556,4.73578,0.00366972,0.0,1.2000000476837158,0.005493824635150618,0.004559829589669351,0.004893527497188188,0.0054942304346089575,TRUE
politica,199,170,123,6,34,1,47,11,9,3,0,0,13,2.41667,802,14.1667,4.71765,0.00588235,0.0,2.5,0.01387844141572714,0.0259718019515276,0.025331005919724703,0.019630995722344287,FAKE
tv_celebridades,58,47,42,0,7,0,16,1,3,1,0,0,1,1.57143,233,6.714289999999999,4.95745,0.0,0.0,1.399999976158142,0.1625055968761444,,0.04385943338274957,0.09785099998116494,FAKE
politica,83,77,57,3,13,0,27,1,1,1,0,0,2,1.2,355,15.4,4.61039,0.025974,0.0,0.20000000298023224,0.04679176894327005,0.017100000753998756,0.05106997396796942,0.05095396749675274,FAKE
politica,622,558,343,4,89,3,164,24,24,16,0,0,23,1.93939,2674,16.9091,4.79211,0.00179211,0.10000000149011612,6.9000000953674325,0.0069010627549141645,0.00677871116850939,0.005694078184509029,0.007652240390008365,TRUE
politica,333,301,155,1,61,3,77,4,14,16,0,0,19,2.4615400000000003,1486,23.1538,4.93688,0.0,0.0,1.8999999761581416,0.019041498191654682,0.017442526179365814,0.013680346193723379,0.01256721648142526,TRUE
politica,976,858,380,22,129,4,263,11,36,17,5,0,55,2.56522,3995,18.6522,4.65618,0.002331,0.0,8.100000381469728,0.004081305773819194,0.002885724443735348,0.00519268050629762,0.004530680318970958,TRUE
politica,96,85,63,2,11,0,27,1,1,1,0,0,2,1.57143,400,12.1429,4.7058800000000005,0.0,0.0,1.8999999761581416,0.025959224750598267,0.02216771058738232,0.017695029266178608,0.040539364076473496,FAKE
tv_celebridades,1948,1767,779,6,286,4,485,95,96,53,0,1,127,2.58571,8828,25.2429,4.99604,0.00339559,0.0,15.899999618530273,0.0025636802108945428,0.0015502772512263616,0.0017791329742537746,0.0020464164544440186,TRUE
politica,1661,1441,626,10,245,19,382,103,95,30,2,2,102,2.85714,7159,18.7143,4.9680800000000005,0.00208189,0.0,23.5,0.0027944850293790987,0.0019425704749301078,0.002001813166619589,0.003525345119414851,TRUE
sociedade_cotidiano,188,175,127,9,27,1,54,11,5,5,0,0,12,1.18182,839,15.9091,4.79429,0.0,0.20000000298023224,2.200000047683716,0.028357179835438725,0.028439505336185295,0.01824128410468499,0.01627370129738535,FAKE
tv_celebridades,189,163,111,0,35,0,43,7,6,6,3,0,10,3.25,775,20.375,4.7546,0.0,0.0,1.5,0.02357664238661528,0.012111403979361056,0.015457953792065382,0.03302087572713693,FAKE
politica,200,181,124,1,33,1,53,8,11,8,0,0,12,1.9,899,18.1,4.96685,0.0,0.0,2.299999952316284,0.022000016799817484,0.009160850197076796,0.02664065104909241,0.022029795683920383,FAKE
sociedade_cotidiano,1243,1092,472,2,177,6,279,35,65,14,10,1,113,2.69643,5010,19.5,4.58791,0.00457875,0.30000001192092896,20.0,0.003803638247030693,0.0031960930791683486,0.0022258644457906485,0.002888386958927316,TRUE
tv_celebridades,1481,1311,588,11,203,2,378,45,52,32,0,0,58,2.2973,6124,17.7162,4.67124,0.00228833,0.0,13.0,0.003000752910681557,0.0030880767846524363,0.0026107486466773683,0.0027787660524778647,TRUE
politica,151,128,83,2,14,2,45,5,3,0,0,0,5,3.28571,634,18.2857,4.953119999999998,0.0,0.0,0.10000000149011612,0.020350690744817258,0.012083134613931179,0.032971729420953326,0.025134563756485786,FAKE
tv_celebridades,90,77,58,0,11,0,23,6,3,1,0,0,8,2.16667,359,12.8333,4.66234,0.0,0.4000000059604645,2.4000000953674316,0.05604874296113849,0.07629633508622646,0.04150709261496862,0.051398116163909435,FAKE
politica,200,182,121,8,35,0,55,3,11,3,0,0,15,2.57143,822,26.0,4.5164800000000005,0.00549451,0.0,2.4000000953674316,0.02172078218843256,,0.01998707910792695,0.022330860822246626,FAKE
sociedade_cotidiano,153,130,87,1,17,0,40,5,5,2,0,0,5,3.28571,627,18.5714,4.82308,0.0,0.10000000149011612,0.8000000119209291,0.01671736966818571,0.03937654802575707,0.017113289330154657,0.02143786856904626,FAKE
politica,321,279,171,0,37,0,84,11,10,4,0,0,17,2.8,1314,18.6,4.7096800000000005,0.0107527,0.0,1.7999999523162842,0.009175906702876092,0.007172308263501952,0.02556126341223717,0.018655277478198208,TRUE
politica,127,110,80,2,15,0,32,7,1,3,0,0,4,2.125,533,13.75,4.84545,0.0181818,0.0,0.30000001192092896,0.035817116498947144,0.03241386512915293,0.04176725074648857,0.036952280749877296,FAKE
tv_celebridades,268,235,161,0,39,1,63,16,14,4,1,0,12,1.94118,1129,13.8235,4.80426,0.0,0.0,3.700000047683716,0.02108018416911364,0.015478860121220347,0.012832531239837408,0.015297188286614768,FAKE
politica,1087,935,416,10,183,12,249,32,52,27,7,0,68,3.04,4618,18.7,4.93904,0.0,0.0,10.699999809265137,0.003984512028503506,0.00443887914944854,0.004197420169865447,0.0061147511526207,TRUE
tv_celebridades,111,95,56,0,17,1,30,4,0,1,0,0,3,3.2,423,19.0,4.45263,0.0105263,0.0,0.6000000238418579,0.05798119632527232,,0.019591167569160458,0.0406797199199597,FAKE
politica,197,179,129,20,21,1,54,5,3,5,0,0,1,2.25,882,22.375,4.92737,0.0,0.0,1.600000023841858,0.015162228207503048,0.016244601225480437,0.012949839467182755,0.022756399214267732,FAKE
politica,107,93,71,2,13,1,32,1,3,0,0,0,7,2.33333,457,15.5,4.9139800000000005,0.0,0.0,0.8000000119209291,0.023414479102939367,,0.03019323535263538,0.037190124206244936,FAKE
sociedade_cotidiano,1700,1499,674,6,240,8,383,93,95,34,1,5,136,3.2950800000000005,7656,24.5738,5.1074,0.00466978,0.0,13.5,0.0031564214258714644,0.0016498422928099687,0.0023484565816553576,0.0021191232727368835,TRUE
sociedade_cotidiano,218,192,125,1,29,4,53,10,6,8,0,0,11,3.25,989,24.0,5.15104,0.0,0.0,0.699999988079071,0.02168003655970097,0.032816595087448754,0.01271675294265151,0.011502917817172905,FAKE
politica,924,814,374,13,80,3,249,42,36,13,0,0,18,3.54839,4188,26.2581,5.14496,0.0,0.10000000149011612,5.800000190734862,0.003609092731494457,0.0035807421539045337,0.0047417609857802745,0.003007189091295004,TRUE
politica,946,813,381,0,135,4,222,30,38,24,2,0,41,2.95556,3923,18.0667,4.82534,0.0,0.0,7.0,0.004292376668724631,0.0038322612720852094,0.008149441459681838,0.004651853369068704,TRUE
sociedade_cotidiano,195,174,113,5,27,2,57,14,1,6,0,0,5,2.1,885,17.4,5.08621,0.0,0.0,1.5,0.025373291654082444,0.01752107561333105,0.009755552746355534,0.010327522875741124,FAKE
tv_celebridades,128,111,87,2,18,0,34,6,8,3,0,0,5,2.42857,577,15.8571,5.1982,0.0,0.0,0.699999988079071,0.03424274469060557,0.01995608583092689,0.046809934079647064,0.0420863900333643,FAKE
sociedade_cotidiano,3006,2613,1111,5,396,12,746,183,134,32,6,0,154,2.86861,12416,19.073,4.7516300000000005,0.00382702,0.0,45.099998474121094,0.0012217459160213668,0.0019080382763058878,0.0008391521208781145,0.001371583048312459,TRUE
politica,217,189,124,3,30,1,57,7,6,3,0,0,14,2.8,897,18.9,4.74603,0.0,-0.10000000149011612,3.4000000953674316,0.015854012065877516,0.01219843846878835,0.00977156963199377,0.017661981657147406,FAKE
tv_celebridades,92,77,56,0,16,1,23,1,2,0,4,0,5,1.875,421,9.625,5.46753,0.0,0.0,1.2999999523162842,0.026211651042103767,,0.03296580165624618,0.05189846973452303,FAKE
sociedade_cotidiano,880,778,357,7,196,2,154,19,48,28,20,1,122,2.31818,3460,17.6818,4.4473,0.00642674,0.10000000149011612,13.0,0.00667606412687085,0.00971299773082137,0.003949230071157217,0.007234428892843425,FAKE
politica,648,568,294,1,93,2,147,21,25,8,2,0,29,2.42424,2616,17.2121,4.6056300000000014,0.0,0.0,6.099999904632568,0.0081126407700746,0.0064045234350487605,0.004094870761036873,0.007470641919273011,TRUE
tv_celebridades,1551,1373,709,1,188,4,392,98,70,27,1,1,76,3.70833,6828,28.6042,4.97305,0.00145666,0.0,11.5,0.003405992831620905,0.002575645536126104,0.0023516917879331032,0.002706172396919053,TRUE
politica,998,869,430,9,162,10,239,40,39,32,0,5,47,2.38889,4437,16.0926,5.10587,0.00345224,0.10000000149011612,8.899999618530273,0.005444304803844358,0.005683483129056793,0.003792192602607732,0.0053809809482149905,TRUE
sociedade_cotidiano,3103,2663,1058,3,265,2,738,170,74,25,0,0,112,1.92982,12824,11.6798,4.81562,0.00262861,0.20000000298023224,64.19999694824219,0.0011596874914864461,0.0016440220888516586,0.0009421128557091033,0.0010852451733727425,TRUE
politica,1210,1064,481,26,143,2,336,31,36,17,4,0,38,2.5614,5066,18.6667,4.76128,0.0018797,0.10000000149011612,9.800000190734863,0.002762496684164066,0.002234090244330998,0.0030471847844420977,0.0038041745283408095,TRUE
sociedade_cotidiano,1385,1209,574,4,223,7,324,69,79,20,3,0,78,2.09524,5985,14.3929,4.95037,0.00578991,0.20000000298023224,33.200000762939446,0.001873933737022945,0.003727704037113913,0.003812291420116607,0.003299604792047438,TRUE
sociedade_cotidiano,836,747,344,8,94,5,228,20,23,13,0,0,30,2.47222,3472,20.75,4.64792,0.0,0.10000000149011612,6.800000190734862,0.004660553271052144,0.0041553622460924105,0.003314400295494125,0.005856636233210307,TRUE
politica,152,118,92,2,26,1,31,7,11,6,0,1,1,2.0,610,6.94118,5.1694900000000015,0.0,0.0,1.7000000476837158,0.02229067993660768,0.07799321413040161,0.022686713747680186,0.033637871220707896,FAKE
politica,210,178,106,4,34,3,56,8,4,3,0,0,6,2.90909,868,16.1818,4.8764,0.0,0.10000000149011612,2.0,0.019789608971526224,0.011813980061560873,0.011975416913628578,0.020554853758464255,FAKE
politica,143,123,84,0,21,1,36,2,9,4,0,0,10,2.85714,566,17.5714,4.60163,0.0,0.10000000149011612,0.699999988079071,0.029083840548992164,0.029078242368996143,0.050422549620270735,0.03171162152041992,FAKE
sociedade_cotidiano,242,203,130,5,34,2,51,23,6,5,1,0,14,2.6,946,13.5333,4.6601,0.0,-0.10000000149011612,2.0999999046325684,0.02016638033092022,0.03407146595418453,0.015741438205753053,0.03099352959543467,FAKE
sociedade_cotidiano,121,106,85,2,15,0,36,11,2,2,0,0,3,2.14286,553,15.1429,5.21698,0.0,0.10000000149011612,0.699999988079071,0.016758190467953682,0.021583399424950283,0.02765720656939916,0.03023996651172638,FAKE
politica,692,619,285,9,133,7,117,41,51,34,0,0,56,1.62222,2930,13.7556,4.73344,0.0,0.0,12.800000190734865,0.007094298184920963,0.0036863747518509626,0.0137150039534188,0.009392599648747006,TRUE
tv_celebridades,1271,1139,556,5,208,7,276,43,67,20,24,15,156,2.0625,5405,17.7969,4.74539,0.0,0.20000000298023224,21.799999237060547,0.004127375020358997,0.002751394269234013,0.005204057670198381,0.004362274319864809,TRUE
politica,1110,946,438,7,180,13,258,40,45,35,10,6,77,2.68852,4547,15.5082,4.80655,0.00105708,0.0,10.899999618530273,0.004698384761078549,0.003080283396411687,0.002618257872139414,0.004818067036534625,TRUE
tv_celebridades,445,367,212,2,73,2,104,16,13,9,6,0,37,3.3913,1702,15.9565,4.6376,0.0027248000000000003,0.0,3.799999952316284,0.013342340535018591,0.013968765580405792,0.00337260231996576,0.010168093351043156,TRUE
tv_celebridades,216,182,105,0,43,0,45,4,16,6,1,0,14,2.83333,847,15.1667,4.65385,0.0,0.0,2.200000047683716,0.017802140209823847,0.01854927837848664,0.015857584774494168,0.0256537942458754,FAKE
sociedade_cotidiano,250,223,146,6,50,0,66,8,8,9,0,0,7,1.6875,1037,13.9375,4.65022,0.0,0.0,3.5999999046325684,0.008047359762713313,0.014740122732921291,0.02119040191173553,0.013410954051377141,FAKE
politica,573,482,261,6,81,2,144,14,25,11,0,1,34,3.13793,2267,16.6207,4.70332,0.0,-0.10000000149011612,6.800000190734862,0.006740244221873581,0.005922969430685043,0.007795865851221606,0.008628464503479856,TRUE
tv_celebridades,619,554,274,5,92,2,167,17,27,16,0,0,24,2.40741,2669,20.5185,4.81769,0.00180505,0.0,4.400000095367432,0.007386183761286013,0.003408676926763012,0.004228734727283674,0.00822083602958758,TRUE
sociedade_cotidiano,1006,861,407,7,123,6,258,44,32,14,1,0,39,3.29545,4099,19.5682,4.76074,0.0,0.0,8.800000190734863,0.005430910377885754,0.004037940440784124,0.0026655734982341532,0.00499879069684539,TRUE
politica,500,422,241,10,65,3,130,20,24,8,0,0,25,3.25,1987,17.5833,4.7085300000000005,0.00473934,0.0,5.0,0.014869327424094084,0.005698813038179651,0.0063158264051058465,0.00798082779951845,FAKE
politica,140,116,80,0,32,0,29,5,6,4,1,0,9,3.0,617,14.5,5.318969999999998,0.0,-0.20000000298023224,2.0,0.02426371599237124,,,0.03117290853212277,FAKE
politica,598,515,280,5,71,3,153,40,10,11,2,0,31,2.86207,2545,17.7586,4.94175,0.0,0.0,4.699999809265137,0.008059740775143322,0.005522350373212248,0.007286095700692386,0.007652794955564397,TRUE
politica,527,455,280,4,91,4,109,26,21,16,4,0,49,3.27273,2214,20.6818,4.8659300000000005,0.0043956,0.0,3.5999999046325684,0.009370938129723071,0.008137193275615573,0.007807867446293433,0.010298315823699037,FAKE
sociedade_cotidiano,288,247,151,0,39,2,63,13,12,6,0,1,18,2.5625,1137,15.4375,4.60324,0.0,0.10000000149011612,2.0999999046325684,0.009827852870027224,0.017444942519068717,0.009141704766079785,0.01444905303309069,FAKE
politica,468,427,215,4,58,1,128,17,22,9,0,0,20,2.15789,2019,22.4737,4.72834,0.00468384,-0.10000000149011612,4.0,0.0077862221869113655,0.010247555713599121,0.0039078568224795145,0.0045597972348332405,TRUE
tv_celebridades,705,613,281,5,145,3,155,20,29,15,9,0,51,3.28571,3070,21.8929,5.00816,0.0114192,0.0,5.099999904632568,0.005206560938280414,,0.010182668920606376,0.010755137866362927,TRUE
tv_celebridades,288,232,168,8,36,4,62,14,13,6,0,1,25,2.43478,1125,10.087,4.84914,0.0,0.0,4.900000095367432,0.023039777576923368,,0.0275227683596313,0.016947571355849504,FAKE
politica,791,708,351,7,121,5,198,34,31,34,0,0,28,2.12821,3419,18.1538,4.8291,0.0,0.0,5.800000190734862,0.004695188564558825,0.0048819174213955785,0.005636256995300452,0.0059654033381719975,TRUE
sociedade_cotidiano,100,85,74,1,13,1,22,6,9,0,0,0,9,3.0,438,17.0,5.15294,0.0117647,0.20000000298023224,2.5999999046325684,0.029355235397815708,,0.01894465833902359,0.043227535569005535,FAKE
tv_celebridades,96,82,63,2,7,1,30,2,2,0,1,0,3,3.5,378,20.5,4.60976,0.0243902,0.5,2.5,0.03937821214397748,0.015621080063283443,0.042013249529356304,0.017317974381148814,FAKE
politica,162,132,95,0,29,2,36,3,14,5,0,0,9,1.875,580,8.25,4.39394,0.0,-0.10000000149011612,2.0,0.019484687596559525,0.03851448465138674,0.015320893377065659,0.033221729565411806,FAKE
politica,154,135,96,0,30,1,26,8,14,4,1,0,12,1.46154,618,10.3846,4.5777800000000015,0.0,0.0,3.2000000476837163,0.01774175837635994,0.015834242571145296,0.056612808257341385,0.04822899835805098,FAKE
tv_celebridades,1870,1595,717,4,347,6,342,74,128,53,30,3,171,2.92553,7301,16.9681,4.5774300000000006,0.00125392,0.20000000298023224,31.79999923706055,0.0034512815160538863,0.003822335018776357,0.003269866183732769,0.003160930609190336,TRUE
sociedade_cotidiano,193,138,98,22,13,0,39,1,5,4,0,0,0,7.8571399999999985,499,19.7143,3.61594,0.0,0.10000000149011612,1.399999976158142,0.06922448612749578,0.021359015877048176,0.020284859463572502,0.04767047520726919,FAKE
politica,122,111,80,2,15,0,42,7,1,5,0,0,3,1.57143,533,15.8571,4.8018,0.0,0.20000000298023224,1.7000000476837158,0.02377932574599981,0.02738971742136137,0.0178252092252175,0.0247288605896756,FAKE
politica,67,55,44,2,7,0,18,4,1,1,0,0,1,1.2,293,5.5,5.32727,0.0,0.20000000298023224,1.2999999523162842,0.05243019387125969,0.06955710798501967,0.04359643161296845,0.051437218487262716,FAKE
tv_celebridades,372,310,195,5,62,2,85,20,18,5,0,1,21,3.1,1582,15.5,5.10323,0.0322581,0.0,5.800000190734862,0.014851596516867481,,0.007070581583927075,0.007569823746702502,FAKE
politica,734,639,387,5,105,11,177,25,21,15,2,1,37,2.56757,3122,17.2703,4.8857599999999985,0.00156495,0.0,8.300000190734862,0.007118363212794065,0.004435898910742253,0.005795672023668885,0.006460495886483019,TRUE
politica,290,251,155,4,36,1,72,11,18,5,0,1,12,2.78571,1258,17.9286,5.01195,0.0,0.0,3.2000000476837163,0.013148864451795816,0.007927033739785353,0.01290743150324984,0.015783633981995726,FAKE
politica,1377,1189,463,14,150,10,319,59,57,11,0,3,48,4.0,5656,25.2979,4.75694,0.000841043,0.0,8.800000190734863,0.0029152353175581906,0.003819420910440385,0.00418580137507839,0.001900581904919818,TRUE
sociedade_cotidiano,1104,933,454,6,152,1,250,50,55,10,1,1,77,3.0,4334,16.3684,4.6452300000000015,0.00428725,0.30000001192092896,19.799999237060547,0.003999654823283274,0.0072749061877594185,0.0050199932143600145,0.00398924474656168,TRUE
politica,190,161,120,5,21,0,54,10,1,0,0,0,4,2.9,839,16.1,5.2111800000000015,0.0186335,0.0,1.0,0.02281602993607521,0.03740740194916725,0.02067246031947434,0.01917035498966773,FAKE
politica,185,174,106,5,19,0,53,2,3,2,0,0,5,1.22222,789,19.3333,4.53448,0.0,0.0,1.399999976158142,0.022486094540605944,,0.022836889140307903,0.02990336849221161,FAKE
sociedade_cotidiano,951,821,407,11,119,5,234,72,28,17,0,0,37,3.71429,4150,23.4571,5.05481,0.00121803,0.0,5.5,0.004559126712622181,0.006767067049319546,0.003870796502774788,0.0038250716315815225,TRUE
politica,111,92,69,6,14,0,34,2,2,4,0,0,1,1.72727,478,8.36364,5.19565,0.0,0.10000000149011612,2.0,0.04269899521023035,0.07633516937494278,0.021967597492039203,0.04910808149725199,FAKE
sociedade_cotidiano,236,204,131,4,36,0,59,9,12,7,0,2,14,2.66667,965,17.0,4.73039,0.0,0.0,1.600000023841858,0.016774921593340958,0.018206541892141104,0.024351865984499454,0.0186236432584172,FAKE
tv_celebridades,169,143,105,2,24,1,42,12,8,3,0,0,15,2.16667,762,11.9167,5.32867,0.020979,0.0,2.299999952316284,0.01143781142309308,0.022210527025163167,0.029976301593706005,0.03134914468973875,FAKE
sociedade_cotidiano,2307,2043,874,20,320,11,505,123,139,34,14,1,177,4.19048,9748,32.4286,4.77141,0.00244738,0.0,20.200000762939453,0.002222977093576143,0.0017758840467254427,0.002048725280578116,0.0025752596301026644,TRUE
politica,468,394,249,15,66,3,125,10,15,5,0,0,19,3.7,1977,19.7,5.01777,0.0,0.0,4.699999809265137,0.009384591015987098,0.005319157242774963,0.009126961422974571,0.007651015082374216,TRUE
politica,1616,1452,623,15,205,9,384,86,58,30,5,0,96,2.87719,7082,25.4737,4.87741,0.00137741,0.0,8.699999809265138,0.002376307367050121,0.0019691150210907355,0.002051486689500356,0.003579756375728992,TRUE
politica,1167,1026,446,2,192,6,264,85,53,26,1,3,74,2.13636,4955,15.5455,4.82943,0.000974659,0.0,15.199999809265135,0.003454111764490928,0.0033584747330418657,0.0027813721280836035,0.005294144201766828,TRUE
tv_celebridades,587,518,255,2,84,2,141,23,15,16,6,0,28,2.76,2554,20.72,4.9305,0.0,0.0,3.799999952316284,0.006969007408423792,0.008475804565629609,0.005297820640003514,0.006072641245179599,TRUE
tv_celebridades,115,102,72,0,18,3,30,3,4,2,0,0,10,2.16667,491,17.0,4.8137300000000005,0.00980392,0.20000000298023224,2.0999999046325684,,0.05259891413152218,0.04353189716736475,0.0320359364684139,FAKE
politica,265,236,139,2,33,0,68,18,6,5,0,0,5,1.8125,1249,14.75,5.29237,0.0,0.0,0.8000000119209291,0.01556221521733438,0.007054690271615981,0.014440798285332594,0.018245245524061215,FAKE
politica,751,656,346,16,112,5,176,31,35,18,3,1,49,3.06452,3072,21.1613,4.682930000000002,0.00457317,-0.10000000149011612,10.899999618530273,0.005381951240174796,0.004106529010459781,0.005703852139413357,0.0073594968469644145,FAKE
politica,619,550,324,13,83,3,181,27,17,14,0,0,17,1.68293,2718,13.4146,4.94182,0.00545455,0.10000000149011612,11.199999809265137,0.006476475456729532,0.005162217085146242,0.005627901544078038,0.006422344506024681,TRUE
politica,3677,3195,1283,18,439,0,984,136,87,77,0,0,118,3.34722,15075,22.1875,4.71831,0.00375587,0.0,26.899999618530273,0.001127942352860163,0.0011286275251882662,0.0009657975761234784,0.0010630152939397491,TRUE
politica,208,187,117,3,27,0,57,6,12,3,0,0,4,2.1,880,18.7,4.7058800000000005,0.0,-0.10000000149011612,1.5,0.010639017447829248,0.00904841092415154,0.025658844225108626,0.021576712481104408,FAKE
sociedade_cotidiano,139,124,93,0,18,0,37,10,7,4,0,0,6,1.5,649,12.4,5.23387,0.0,-0.10000000149011612,1.399999976158142,0.04353612599273523,0.02400300458360177,0.017758200410753492,0.027334802517933503,FAKE
politica,259,233,130,0,28,1,73,19,11,3,0,0,8,2.36364,1088,21.1818,4.66953,0.0,0.0,2.200000047683716,0.015647378982976082,0.04363993927836418,0.012502596092720829,0.015374004840850832,TRUE
politica,125,111,77,4,19,0,36,4,10,3,0,0,2,2.0,527,15.8571,4.74775,0.0,0.0,3.5,0.02855437311033408,0.019272472243756056,0.013665784150362015,0.03934605264415344,FAKE
politica,191,158,108,6,28,3,46,17,8,5,0,0,5,4.125,745,19.75,4.71519,0.0,0.10000000149011612,1.5,0.017704820726066828,0.01511015649884939,0.027766753220930696,0.02643209588355743,FAKE
tv_celebridades,1217,1113,461,7,158,2,317,60,36,42,0,0,30,2.66667,5435,28.5385,4.8832,0.00179695,0.0,4.900000095367432,0.0036680060476980735,0.004265963798388839,0.003329372295411304,0.0044436775778810824,TRUE
sociedade_cotidiano,570,509,243,6,64,2,141,39,15,9,0,0,15,2.77273,2426,23.1364,4.76621,0.0,0.10000000149011612,3.4000000953674316,0.005572592119940302,0.006698426219042052,0.010130171081982551,0.003645144519396127,TRUE
politica,472,412,219,7,55,2,121,15,7,10,0,0,18,4.28571,2046,29.4286,4.9660199999999985,0.0,0.0,1.8999999761581416,0.007957615394843742,0.0072295031743124126,0.011229205255707106,0.009952185186557471,TRUE
politica,755,635,386,2,112,15,187,38,40,11,0,0,37,2.5531900000000003,3011,13.5106,4.74173,0.00314961,0.30000001192092896,20.399999618530273,0.0043005877107914,0.005968289435259066,0.005170658172573893,0.0057334338913538644,TRUE
