author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity,indice
Por Bom Dia Rio,https://g1.globo.com/rj/rio-de-janeiro/noticia/anthony-garotinho-e-ouvido-mais-uma-vez-sobre-suposta-agressao-na-cadeia-de-benfica.ghtml,politica,1/12/2017,333,301,155,None,1,61,3,77,4,14,16,0,0,19,2.46154,1486,23.1538,4.93688,0.0,0.130435,0.51495,11
Paulo Beraldo,"http://politica.estadao.com.br/noticias/geral,apos-expulsao-do-pmdb-katia-abreu-usa-redes-sociais-para-criticar-temer,70002098047",politica,26/11/2017,313,262,157,None,4,53,0,79,9,10,7,0,0,13,2.83333,1324,14.5556,5.05344,0.0,0.143939,0.599237,12
Matheus Leitão,https://g1.globo.com/politica/blog/matheus-leitao/post/2017/12/23/gilmar-nega-pedido-de-miller-para-se-declarar-suspeito-em-habeas-corpus-relacionado-ao-ex-procurador.ghtml,politica,23/12/2017,314,272,153,None,7,40,1,89,14,9,2,0,0,13,3.81818,1417,24.7273,5.20956,0.0147059,0.178295,0.5625,13
Renan Ramalho,https://g1.globo.com/politica/noticia/raquel-dodge-reitera-pedido-de-janot-para-rescindir-delacao-de-joesley-batista.ghtml,politica,18/12/2017,450,401,222,None,11,62,0,130,12,12,12,0,0,13,3.5,2012,28.6429,5.01746,0.0,0.125,0.553616,14
Por G1 Rio,https://g1.globo.com/rj/rio-de-janeiro/noticia/anthony-garotinho-deixa-o-complexo-penitenciario-de-gericino-em-bangu-rio.ghtml,politica,21/12/2017,713,622,338,None,4,107,1,176,20,33,17,2,0,30,2.52778,2985,17.2778,4.79904,0.0,0.187279,0.543408,15
Por G1,https://g1.globo.com/politica/noticia/conselho-de-etica-do-pmdb-decide-expulsar-a-senadora-katia-abreu.ghtml,politica,23/11/2017,356,313,163,None,1,57,0,96,12,11,12,0,0,8,2.38889,1578,17.3889,5.04153,0.0,0.150327,0.520767,16
Do G1 AM,http://g1.globo.com/am/amazonas/noticia/2017/01/juiz-determina-soltura-de-4-presos-por-pensao-alimenticia-no-compaj.html,sociedade_cotidiano,08/01/2017,820,736,242,None,22,80,5,227,50,22,11,0,0,7,3.36,3706,29.44,5.03533,0.0,0.234528,0.328804,17
Renan Ramalho,https://g1.globo.com/politica/noticia/fachin-nega-novo-pedido-de-liberdade-de-joesley-batista-e-ricardo-saud.ghtml,politica,19/12/2017,455,400,226,None,12,63,1,122,13,18,10,0,0,18,3.4375,2000,25.0,5.0,0.0025,0.167568,0.565,18
None,http://g1.globo.com/jornal-nacional/noticia/2017/12/laudo-declara-que-paulo-maluf-pode-continuar-no-presidio-da-papuda.html,sociedade_cotidiano,26/12/2017,395,352,156,None,5,60,3,103,19,9,12,0,0,4,2.15,1731,17.6,4.91761,0.0,0.171779,0.443182,19
Gustavo Garcia E Bernardo Caram,https://g1.globo.com/politica/noticia/pmdb-aprova-mudanca-de-nome-e-passa-a-ser-chamado-mdb.ghtml,politica,19/12/2017,620,532,288,None,9,91,3,158,33,20,20,0,1,26,3.14286,2701,19.0,5.07707,0.0018797,0.212851,0.541353,20
Paula Paiva Paulo,"http://politica.estadao.com.br/noticias/geral,um-covas-de-volta-ao-comando-em-sp,70002232970",politica,17/8/2017,387,318,107,0,0,54,6,92,12,7,4,2,4,36,3.45,1535,15.9,4.82704,0.0,0.130137,0.336478,21
"Karolini Oliveira, Aline Vieira",https://g1.globo.com/ac/acre/noticia/mais-de-2-mil-inscricoes-para-os-colegios-militares-sao-feitas-no-primeiro-dia-em-rio-branco.ghtml,politica,27/12/2017,296,271,136,None,4,45,1,71,14,9,18,0,0,4,1.5625,1218,16.9375,4.49446,0.0,0.198276,0.501845,22
None,http://g1.globo.com/jornal-nacional/noticia/2017/11/projeto-que-enfraquece-lei-da-ficha-limpa-ganha-apoio-no-congresso.html,politica,10/11/2017,889,775,384,None,4,142,7,203,43,44,19,0,3,50,2.42553,3725,16.4894,4.80645,0.0,0.252174,0.495484,23
Thais Bilenky,"http://educacao.estadao.com.br/noticias/geral,o-fim-do-vestibular-nao-e-o-fim-do-merito,755564",politica,29/12/2017,544,474,274,0,3,88,5,133,30,21,10,0,0,28,3.04348,2345,20.6087,4.94726,0.0021097,0.230769,0.578059,24
Por G1 Itapetininga e Região,https://g1.globo.com/sp/itapetininga-regiao/noticia/mulher-morre-esfaqueada-durante-briga-com-esposa-do-ex-marido-em-itaporanga.ghtml,politica,20/12/2017,155,134,82,None,1,27,0,35,2,7,10,0,0,1,2.1,608,13.4,4.53731,0.0,0.145161,0.61194,25
Por G1 BA,https://g1.globo.com/bahia/noticia/para-proteger-avo-adolescente-atira-e-mata-o-pai-na-bahia-diz-policia.ghtml,politica,3/9/2017,321,282,153,None,0,47,0,85,6,8,6,0,0,12,3.0,1297,21.6923,4.59929,0.0,0.106061,0.542553,26
Vera Rosa,"http://politica.estadao.com.br/noticias/geral,por-2018-temer-quer-agenda-social,70002133341",politica,29/12/2017,1242,1077,563,None,18,142,10,336,56,41,11,1,0,47,3.66667,5074,23.9333,4.71124,0.000928505,0.202929,0.522748,27
Mariana Oliveira,https://g1.globo.com/politica/noticia/fux-intima-maria-do-rosario-a-depor-na-acao-em-que-bolsonaro-e-reu.ghtml,politica,23/8/2017,573,482,261,0,6,81,2,144,14,25,11,0,1,34,3.13793,2267,16.6207,4.70332,0.0,0.173333,0.541494,28
Thais Bilenky,http://www1.folha.uol.com.br/poder/2017/12/1946006-elite-brasileira-tem-de-ter-menos-espirito-de-miami-diz-flavio-dino.shtml,politica,26/12/2017,1181,1002,532,None,8,183,8,265,57,71,20,4,0,75,2.55714,4562,14.3143,4.55289,0.00299401,0.285714,0.530938,29
G1 SP,https://g1.globo.com/sp/sao-paulo/noticia/doria-chama-de-injusta-homenagem-viaduto-com-nome-de-marisa-leticia.ghtml,politica,1/1/2018,673,602,283,None,4,84,1,180,27,17,12,0,0,22,3.22727,2877,27.3636,4.77907,0.0,0.166667,0.4701,30
G1 SP,https://g1.globo.com/sao-paulo/noticia/apos-ovada-doria-posta-foto-de-deposito-de-ovos-e-diz-armamento-pesado.ghtml,politica,9/8/2017,286,245,145,None,1,38,2,77,13,4,5,0,2,13,3.15385,1134,18.8462,4.62857,0.0,0.147826,0.591837,31
Luiza Garonce,https://g1.globo.com/distrito-federal/noticia/bancada-evangelica-na-camara-do-df-pede-revogacao-de-politica-cultural-lgbti.ghtml,politica,2/10/2017,866,742,349,None,19,114,12,209,52,28,16,0,0,36,3.75758,3952,22.4848,5.32615,0.00269542,0.247678,0.47035,32
Fabiana Figueiredo,https://g1.globo.com/ap/amapa/noticia/roberto-goes-do-pdt-e-o-deputado-do-ap-que-mais-faltou-na-camara-em-2017.ghtml,politica,27/12/2017,545,449,228,None,3,62,0,134,17,21,3,2,0,25,3.84,2200,17.96,4.89978,0.00222717,0.193878,0.507795,33
Eliane Cantanhêde,http://politica.estadao.com.br/blogs/eliane-cantanhede/sergio-moraes-e-pastor-josue-cotados-para-o-trabalho/,politica,2/1/2018,318,286,171,None,3,32,1,93,7,13,1,0,0,12,3.2,1391,28.6,4.86364,0.0,0.16,0.597902,34
Fernanda Calgaro,https://g1.globo.com/politica/noticia/tiririca-se-diz-com-vergonha-da-politica-e-afirma-que-nao-deve-disputar-mais-eleicoes.ghtml,politica,6/12/2017,578,464,229,None,2,105,0,101,25,39,15,4,0,42,3.8,2212,15.4667,4.76724,0.00215517,0.31068,0.493534,35
Adriana Ferraz E Ricardo Galhardo,"http://politica.estadao.com.br/noticias/geral,alckmin-busca-resgatar-discurso-social-tucano,70002045118",politica,15/10/2017,1005,872,460,None,17,107,0,283,50,35,13,0,1,35,3.69444,4325,24.2222,4.95986,0.00458716,0.217949,0.527523,36
Thiago Faria,"http://politica.estadao.com.br/noticias/geral,magno-malta-usa-cpi-para-se-cacifar-como-vice-de-bolsonaro,70002114614",politica,10/12/2017,725,630,342,None,15,111,1,188,29,32,16,0,1,31,3.39286,3077,22.5,4.88413,0.0,0.204013,0.542857,37
Andreza Matais,http://politica.estadao.com.br/blogs/coluna-do-estadao/centro-ataca-populismo-contra-lula-e-bolsonaro/,politica,2/1/2018,681,585,367,None,23,69,4,200,31,12,6,1,0,24,2.52632,2942,15.3947,5.02906,0.0102564,0.159851,0.62735,38
Alexa Salomão,"http://saude.estadao.com.br/noticias/geral,um-ano-apos-1-caso-oficial-de-zika--microcefalia-faz-bebe-tomar-ate-rivotril,10000026444",sociedade_cotidiano,17/04/2016,1079,892,477,None,13,170,1,234,48,68,19,5,0,48,2.46053,4081,11.7368,4.57511,0.00672646,0.287129,0.534753,39
Alberto Bombig E Pedro Venceslau,"http://politica.estadao.com.br/noticias/geral,para-fhc-alckmin-precisa-provar-que-pode-unir-centro,70002135794",politica,2/1/2018,997,867,398,None,7,185,29,204,45,51,16,2,1,95,2.03125,3978,13.5469,4.58824,0.0,0.246787,0.459054,40
None,http://www1.folha.uol.com.br/poder/2017/05/1884891-conselho-de-etica-abre-apuracao-sobre-conduta-de-eduardo-bolsonaro.shtml,politica,17/5/2017,252,231,139,None,6,31,0,75,9,3,6,0,0,5,1.90909,1194,21.0,5.16883,0.0,0.113208,0.601732,41
Luana Pavani,"http://economia.estadao.com.br/noticias/geral,petrobras-propoe-pagamento-de-us-2-95-bi-para-encerrar-acao-nos-eua,70002136962",politica,3/1/2018,451,407,220,None,8,49,2,119,25,11,4,0,0,18,3.38462,1963,31.3077,4.8231,0.004914,0.214286,0.540541,42
G1 RS,https://g1.globo.com/rs/rio-grande-do-sul/noticia/juiz-determina-area-para-manifestantes-e-proibe-acampamento-do-mst-durante-julgamento-de-lula-em-porto-alegre.ghtml,politica,29/12/2017,1205,1069,477,None,21,142,11,306,53,37,33,0,0,22,3.48718,5271,27.4103,4.93078,0.000935454,0.200893,0.446211,43
Letícia Casado E Daniel Carvalho,http://www1.folha.uol.com.br/poder/2018/01/1947266-tse-tera-composicao-mais-linha-dura-durante-a-eleicao.shtml,politica,1/1/2018,847,742,362,None,24,94,5,241,31,19,13,0,0,32,3.08824,3466,21.8235,4.67116,0.0,0.149254,0.487871,44
Wálter Nunes,http://www1.folha.uol.com.br/poder/2017/11/1934918-na-onda-da-lava-jato-policiais-federais-planejam-se-candidatar-em-18-estados.shtml,politica,13/11/2017,805,715,406,None,15,98,3,227,31,28,12,0,0,33,2.25,3499,17.875,4.89371,0.0013986,0.181538,0.567832,45
"Ranier Bragon, Angela Boldrini, Natália Cancian, Rubens Valente",http://www1.folha.uol.com.br/poder/2017/09/1921276-pautas-de-vies-conservador-avancam-na-gestao-de-michel-temer.shtml,politica,24/9/2017,2029,1754,821,None,28,212,4,585,110,42,19,0,0,77,4.36508,9143,27.8413,5.21266,0.000570125,0.190715,0.468073,46
"José Marques, Renan Marra, Ana Luiza Albuquerque",http://www1.folha.uol.com.br/poder/2017/12/1947097-tribunal-julga-caso-de-lula-com-a-rapidez-de-acoes-mais-simples.shtml,politica,31/12/2017,1079,957,433,None,13,132,2,286,33,49,26,0,0,38,2.83721,4555,22.2558,4.75967,0.0,0.196172,0.452456,47
G1 Ribeirão e Franca,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/jair-bolsonaro-e-hostilizado-com-ovada-durante-visita-a-ribeirao-preto.ghtml,politica,17/8/2017,372,323,189,None,11,61,0,95,12,8,8,2,0,16,3.5,1526,23.0714,4.72446,0.00309598,0.128205,0.585139,48
"Rosanne Dagostino,",https://g1.globo.com/rj/rio-de-janeiro/noticia/carmen-lucia-nega-liberdade-ao-deputado-estadual-edson-albertassi.ghtml,politica,2/1/2018,538,485,230,None,11,58,1,163,16,12,9,0,0,11,2.78947,2465,25.5263,5.08247,0.0,0.126697,0.474227,49
Agência EFE,https://g1.globo.com/mundo/noticia/trump-critica-meios-de-comunicacao-por-cobertura-da-reforma-tributaria.ghtml,politica,20/12/2017,312,266,172,None,2,32,0,78,27,12,3,0,0,17,4.18182,1420,24.1818,5.33835,0.0,0.354545,0.646617,50
Ana Luiza Albuquerque,http://www1.folha.uol.com.br/poder/2017/12/1946492-nao-acredito-na-polarizacao-em-18-as-pessoas-vao-refletir-diz-alvaro-dias.shtml,politica,28/12/2017,1956,1687,777,None,15,324,9,442,98,106,54,17,2,126,2.10156,8397,13.1797,4.97747,0.000592768,0.266319,0.460581,51
"Reynaldo Turollo Jr., Rubens Valente",http://www1.folha.uol.com.br/poder/2017/11/1936887-lava-jato-representa-prova-de-fogo-para-stf-na-area-criminal.shtml,politica,21/11/2017,1544,1366,644,None,44,201,8,408,73,58,35,0,0,69,3.06897,6585,23.5517,4.82064,0.0,0.215107,0.471449,52
Gustavo Uribe,http://www1.folha.uol.com.br/poder/2018/01/1947718-cotado-para-trabalho-moraes-diz-que-aceitaria-convite-e-critica-ingerencia-de-sarney.shtml,politica,3/1/2018,480,426,228,None,5,82,2,121,14,11,15,2,0,23,2.7,2047,21.3,4.80516,0.0,0.123153,0.535211,53
Daniel Carvalho,http://www1.folha.uol.com.br/poder/2017/08/1908203-acusado-de-assedio-deputado-da-tatuagem-compartilha-meme-homofobico.shtml,tv_celebridades,8/8/2017,448,381,214,None,6,59,0,123,15,8,8,6,0,28,3.35,1867,19.05,4.90026,0.0,0.126374,0.56168,54
Marcelo Parreira,https://g1.globo.com/politica/noticia/gilmar-mendes-manda-tirar-tornozeleira-eletronica-de-rosinha-garotinho.ghtml,politica,22/12/2017,345,302,163,None,2,52,3,92,16,10,8,0,0,13,3.30769,1701,23.2308,5.63245,0.00331126,0.180556,0.539735,55
Letícia Casado,http://www1.folha.uol.com.br/poder/2017/12/1944540-denuncias-contra-temer-nao-vao-para-moro-em-2019-diz-stf.shtml,politica,19/12/2017,815,711,358,None,22,107,4,222,27,25,23,0,0,19,3.46667,3517,23.7,4.94655,0.0,0.158055,0.503516,56
Marina Dias,http://www1.folha.uol.com.br/mercado/2017/12/1946221-temer-assina-mp-que-reduz-a-60-anos-idade-minima-para-saque-do-pispasep.shtml,politica,26/12/2017,300,274,159,None,6,45,2,76,11,15,11,0,0,13,2.36364,1255,24.9091,4.58029,0.0,0.214876,0.580292,57
Marina Dias,http://www1.folha.uol.com.br/poder/2017/12/1946131-ministro-diz-que-liberar-verba-por-voto-nao-e-chantagem-e-acao-de-governo.shtml,sociedade_cotidiano,26/12/2017,454,383,212,None,4,61,6,125,10,17,11,0,0,12,5.07143,1908,27.3571,4.98172,0.0,0.145161,0.553525,58
G1 AC,https://g1.globo.com/ac/acre/noticia/camara-municipal-de-rio-branco-sanciona-lei-que-cria-policia-legislativa.ghtml,sociedade_cotidiano,8/12/2017,266,238,132,None,2,37,1,73,9,7,10,0,0,5,2.15385,1209,18.3077,5.07983,0.0,0.145455,0.554622,59
Sarah Keating,http://www1.folha.uol.com.br/equilibrioesaude/2017/12/1946564-os-problemas-de-saude-causados-pelo-trabalho-noturno.shtml,sociedade_cotidiano,28/12/2017,1192,1013,498,None,13,184,7,260,77,53,22,6,1,69,4.16279,5038,23.5581,4.97335,0.0,0.292793,0.491609,60
Mônica Bergamo,http://www1.folha.uol.com.br/colunas/monicabergamo/2017/08/1908486-suplicy-participara-de-programa-de-doria-na-web-nesta-quinta.shtml,tv_celebridades,9/8/2017,160,136,97,None,4,12,0,52,4,3,1,0,0,4,4.0,614,22.6667,4.51471,0.0,0.109375,0.713235,61
Marina Dias,http://www1.folha.uol.com.br/poder/2017/12/1942937-palocci-foi-contar-uma-mentira-maior-que-a-dos-outros-diz-lula.shtml,politica,13/12/2017,782,695,333,None,10,126,13,188,33,36,27,0,0,38,3.34615,3327,26.7308,4.78705,0.00143885,0.219745,0.479137,62
None,http://datafolha.folha.uol.com.br/eleicoes/2017/12/1940409-lula-lidera-e-enfrentaria-bolsonaro-no-2-turno-se-eleicao-fosse-hoje.shtml,politica,4/12/2017,1713,1182,335,None,2,132,2,322,67,44,8,0,0,44,9.48214,5057,21.1071,4.27834,0.0,0.244493,0.283418,63
Ricardo Balthazar,http://www1.folha.uol.com.br/poder/2017/12/1946478-teoria-da-cegueira-deliberada-ampara-condenacoes-na-lava-jato.shtml,politica,28/12/2017,1378,1273,534,None,23,218,8,367,43,35,22,0,0,68,4.03846,6370,48.9615,5.00393,0.0,0.133333,0.419482,64
Tahiane Stochero,https://g1.globo.com/sao-paulo/noticia/em-evento-com-alckmin-e-doria-fhc-defende-previas-do-psdb-para-definir-candidato-a-presidencia.ghtml,politica,11/9/2017,1106,949,384,None,10,218,18,216,44,45,39,11,0,100,3.27083,4406,19.7708,4.64278,0.00105374,0.205069,0.404636,65
Joelmir Tavares,http://www1.folha.uol.com.br/poder/2017/12/1943460-lula-se-matou-como-simbolo-diz-fhc-em-debate-sobre-crise-no-brasil.shtml,politica,14/12/2017,417,381,221,None,4,61,7,114,12,17,12,0,0,18,2.0,1916,21.1667,5.02887,0.0,0.165714,0.580052,66
Bruno Boghossian,http://www1.folha.uol.com.br/poder/2017/12/1943928-incerteza-sobre-lula-estimula-partidos-a-lancarem-candidatos.shtml,politica,17/12/2017,658,605,332,None,14,76,5,193,28,17,8,0,0,29,2.40909,2993,27.5,4.94711,0.0,0.167286,0.54876,67
Artur Rodrigues,http://www1.folha.uol.com.br/cotidiano/2017/12/1946523-tribunal-de-contas-exagera-em-suas-funcoes-e-prejudica-sp-afirma-doria.shtml,politica,28/12/2017,2028,1745,718,None,12,307,8,453,84,112,40,10,7,129,2.33884,8505,14.4215,4.87393,0.00114613,0.257895,0.411461,68
None,http://g1.globo.com/jornal-nacional/noticia/2017/10/novos-audios-entregues-por-joesley-incriminam-ministro-de-temer.html,politica,7/10/2017,160,136,97,None,4,12,0,52,4,3,1,0,0,4,4.0,614,22.6667,4.51471,0.0,0.109375,0.713235,69
Gustavo Uribe,http://www1.folha.uol.com.br/poder/2018/01/1947739-cristiane-brasil-filha-de-roberto-jefferson-sera-ministra-do-trabalho.shtml,politica,3/1/2018,656,559,284,None,11,91,0,170,27,14,13,1,1,29,2.85294,2663,16.4412,4.76386,0.0,0.157088,0.50805,70
"Letícia Casado, Reynaldo Turollo Jr",http://www1.folha.uol.com.br/poder/2017/12/1941460-ministro-do-stf-autoriza-quebra-de-sigilos-de-aecio-neves.shtml,politica,7/12/2017,601,521,279,None,21,65,2,168,24,15,10,0,0,20,4.0,2534,26.05,4.86372,0.0,0.167382,0.535509,71
"Gabriela Sá Pessoa, Fernando Forte",http://www1.folha.uol.com.br/poder/2017/11/1933059-por-semelhancas-com-os-anos-80-jogo-politico-vive-dias-de-stranger-things.shtml,politica,6/11/2017,795,672,385,None,13,92,2,205,37,32,15,0,0,37,3.96774,3206,21.6774,4.77083,0.00744048,0.232323,0.572917,72
None,http://www1.folha.uol.com.br/mercado/2017/12/1942796-jbs-pagara-r-650-mil-por-demissao-em-massa.shtml,politica,12/12/2017,240,213,135,None,11,27,0,61,15,5,7,0,0,2,3.375,992,26.625,4.65728,0.0,0.227273,0.633803,73
Daniela Lima,http://www1.folha.uol.com.br/poder/2016/09/1809281-alvaro-dias-recorre-ao-stf-contra-votacao-que-beneficiou-dilma.shtml,politica,1/9/2016,820,709,342,None,10,138,8,189,31,33,15,0,1,50,3.58065,3424,22.871,4.82934,0.00141044,0.195719,0.48237,74
Letícia Casado,http://www1.folha.uol.com.br/poder/2017/11/1933055-desgastada-carmen-lucia-enfrenta-racha-entre-ministros-no-supremo.shtml,politica,6/11/2017,1214,1068,477,None,14,151,7,316,77,39,26,0,1,30,2.43333,5279,17.8,4.94288,0.0,0.248394,0.446629,75
Marina Dias,http://www1.folha.uol.com.br/poder/2017/12/1947137-temer-resistiu-a-pressao-por-renuncia-e-refez-planos-politicos-em-ano-do-ufa.shtml,politica,31/12/2017,1090,957,508,None,6,157,4,261,63,41,14,0,2,55,3.16667,4780,22.7857,4.99478,0.00104493,0.248804,0.530825,76
Rubens Valente,http://www1.folha.uol.com.br/poder/2017/12/1947025-decreto-de-temer-sobre-indulto-nao-seguiu-proposta-da-area-tecnica.shtml,politica,30/12/2017,978,838,426,None,17,130,3,247,41,29,21,1,0,38,4.11765,4297,24.6471,5.12769,0.00119332,0.185676,0.508353,77
Talita Fernandes,http://www1.folha.uol.com.br/poder/2017/12/1945839-caciques-do-senado-na-mira-da-lava-jato-terao-reeleicao-dificil.shtml,politica,25/12/2017,1130,955,485,None,34,145,2,304,36,28,29,2,1,49,3.57143,4638,19.4898,4.85654,0.0,0.142539,0.507853,78
Talita Fernandes,http://www1.folha.uol.com.br/poder/2017/06/1891203-joaquim-barbosa-defende-eleicoes-diretas-e-nao-descarta-candidatura.shtml,politica,25/12/2017,452,367,219,None,3,59,1,99,24,26,1,3,0,23,4.04762,1895,17.4762,5.16349,0.0,0.316456,0.59673,79
Daniel Carvalho,http://www1.folha.uol.com.br/poder/2017/12/1941387-oposicao-pede-cassacao-de-lucio-vieira-lima-a-conselho-de-etica.shtml,politica,7/12/2017,543,469,257,None,12,64,5,150,12,16,6,0,0,15,3.21739,2273,20.3913,4.84648,0.0021322,0.130841,0.547974,80
Gustavo Uribe,http://www1.folha.uol.com.br/poder/2017/12/1945681-onipresente-chefe-de-cerimonial-do-planalto-e-chamado-de-duble-de-temer.shtml,politica,24/12/2017,752,670,358,None,6,110,1,180,48,29,19,0,0,32,2.5625,3575,20.9375,5.33582,0.0,0.265517,0.534328,81
Renan Ramalho,https://g1.globo.com/politica/noticia/plenario-do-stf-deve-analisar-no-proximo-dia-23-pedido-de-liberdade-de-palocci.ghtml,politica,13/11/2017,399,358,191,None,5,53,3,115,14,12,11,0,0,14,2.5625,1683,22.375,4.70112,0.0,0.154762,0.53352,82
Guilherme Mazui,https://g1.globo.com/politica/noticia/ministro-marcos-pereira-diz-em-carta-a-temer-que-questoes-pessoais-e-partidarias-motivaram-pedido-de-demissao.ghtml,politica,3/1/2018,582,500,285,None,4,83,3,154,18,13,9,2,0,25,3.41667,2537,20.8333,5.074,0.0,0.130802,0.57,83
Marco Rodrigo Almeida,http://www1.folha.uol.com.br/poder/2017/12/1946204-livro-mapeia-golpes-crises-e-trapacas-na-politica-nacional.shtml,politica,27/12/2017,655,561,361,None,10,71,1,153,57,25,4,0,0,24,3.48148,2891,20.7778,5.1533,0.00178253,0.366071,0.643494,84
Carla Araújo,"http://politica.estadao.com.br/noticias/geral,temer-chama-imprensa-para-registrar-caminhada-e-garante-estar-recuperadissimo,70002138134",politica,4/1/2018,503,440,235,None,3,88,1,117,20,20,17,2,0,15,3.15,2165,22.0,4.92045,0.0,0.195122,0.534091,85
Julia Affonso E Fausto Macedo,http://politica.estadao.com.br/blogs/fausto-macedo/escolhida-para-o-ministerio-do-trabalho-foi-citada-em-delacao-da-odebrecht/,politica,3/1/2018,1098,931,434,None,11,179,4,238,25,56,22,12,2,91,3.09259,4624,17.2407,4.9667,0.00322234,0.194245,0.466165,86
"Letícia Casado, Fábio Fabrini, Camila Mattoso",http://www1.folha.uol.com.br/poder/2017/12/1943824-pf-quer-que-aecio-explique-elo-com-cabral.shtml,politica,16/12/2017,1514,1322,513,None,22,170,7,386,70,46,15,0,0,69,3.36842,6474,23.193,4.89713,0.00151286,0.208633,0.388048,87
Ana Estela De Sousa Pinto,http://www1.folha.uol.com.br/mercado/2017/12/1946256-falha-em-contribuicao-para-servidor-e-do-governo-dizem-entidades-sindicais.shtml,politica,27/12/2017,770,669,358,None,20,99,11,189,48,31,9,0,0,27,3.48276,3373,23.069,5.04185,0.0,0.274306,0.535127,88
Redação - O Estado de S.Paulo,"http://emais.estadao.com.br/noticias/gente,youtuber-responde-piada-considerada-gordofobica-de-danilo-gentili,70002132227",politica,27/12/2017,268,227,128,None,1,58,1,51,17,20,12,0,0,11,3.15385,1067,17.4615,4.70044,0.0220264,0.33945,0.563877,89
José Fucs,http://politica.estadao.com.br/blogs/blog-do-fucs/a-briga-de-egos-prejudica-a-direita/,politica,10/11/2017,2495,2156,901,None,12,369,13,513,147,141,54,19,3,261,3.16822,10763,20.1495,4.99212,0.00927644,0.326531,0.417904,90
