indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
25,234,200,134,3,34,1,61,9,5,6,0,0,9,2.26667,1050,13.3333,5.25,0.0,0.0,2.400000095367432,0.016710462048649788,0.010138302575796844,0.009947778346637884,0.025730763665503927,FAKE
26,229,206,135,1,40,1,56,6,7,10,0,0,14,1.7692299999999999,912,15.8462,4.42718,0.0,-0.10000000149011612,3.5,0.014399882405996324,0.008533184749207327,0.007714645626644294,0.01717355184476165,FAKE
27,468,428,221,15,68,1,128,23,16,5,0,0,24,1.48148,2027,15.8519,4.7359800000000005,0.0,0.10000000149011612,6.4000000953674325,0.0063403568929061285,0.004773376871728235,0.011231856782817178,0.012291245800240531,FAKE
28,296,251,156,8,35,0,80,9,8,3,0,0,11,3.75,1183,20.9167,4.71315,0.0,0.0,1.8999999761581419,0.008229620638303459,0.013800160959362984,0.014233424386475237,0.01762950064047523,FAKE
29,751,656,346,16,112,5,176,31,35,18,3,1,49,3.06452,3072,21.1613,4.682930000000001,0.00457317,-0.10000000149011612,10.899999618530273,0.005381951240174796,0.004106529010459781,0.005703852139413357,0.0073594968469644145,FAKE
30,343,311,194,11,43,1,98,22,10,5,0,0,14,2.0,1506,19.4375,4.84244,0.0,0.10000000149011612,4.0,0.00980979179103787,0.006496896247633479,0.014327340254870553,0.011032644788631134,FAKE
31,470,421,240,5,69,2,126,21,15,5,0,0,21,1.8148099999999998,1928,15.5926,4.5795699999999995,0.0,0.0,7.4000000953674325,0.010203446698142216,0.007058347276012813,0.013703865916742122,0.0062509183306247,FAKE
32,227,194,136,3,30,1,62,9,9,3,0,0,12,3.3,1010,19.4,5.20619,0.0,0.0,1.7999999523162842,0.012187996258338293,0.006620535859838128,0.013668659209672892,0.022045325837098062,FAKE
33,201,175,118,6,28,1,54,12,4,6,1,0,9,2.6,850,17.5,4.85714,0.0,0.0,2.5999999046325684,0.016545192222110927,0.019553559366613626,0.015687869489192964,0.030114177556242794,FAKE
34,377,333,193,10,55,2,97,7,20,8,4,0,22,2.44444,1537,18.5,4.61562,0.0,0.0,4.300000190734863,0.00952882351926886,0.006359993790586789,0.0075689000243853236,0.012804368771612644,FAKE
35,229,204,139,1,41,0,51,10,15,6,6,0,26,1.31579,950,10.7368,4.65686,0.0,0.0,6.800000190734862,0.013875004090368749,0.006498849019408226,0.009571980219334364,0.027436374412739974,FAKE
36,524,450,252,4,104,5,105,24,22,20,1,1,51,2.96,1999,18.0,4.44222,0.013244999999999998,0.0,10.800000190734863,0.011692779643150663,0.005415843660011886,0.005494851665571333,0.00956909685982796,FAKE
37,371,305,186,7,57,4,86,15,14,9,1,0,26,2.75,1460,12.7083,4.7868900000000005,0.0,0.30000001192092896,8.5,0.011584005085751414,0.006368372472934425,0.008131231440024244,0.014795365948230029,FAKE
39,333,289,183,3,56,2,82,16,16,12,0,0,22,2.3157900000000002,1486,15.2105,5.14187,0.0,0.0,5.5,0.009707561053801328,0.012985881417989729,0.006828964687883854,0.00925716555987795,FAKE
41,338,303,167,2,51,1,91,19,11,9,0,0,15,2.1875,1406,18.9375,4.64026,0.0,-0.10000000149011612,4.0,0.010937294519195956,0.006161071592941879,0.007911629043519497,0.016286995572348438,FAKE
42,571,534,292,5,76,4,152,30,24,16,0,0,34,1.48,2580,21.36,4.83146,0.0,0.0,4.599999904632568,0.007624536294550184,0.0066398560302332035,0.005525382717938295,0.009115928038954734,FAKE
43,370,330,191,4,60,5,101,14,12,14,0,3,15,1.48148,1585,12.2222,4.803030000000001,0.0,0.0,3.5,0.009986010517048486,0.019493029840911433,0.007098192730071871,0.01078007519456812,FAKE
44,459,419,233,13,64,2,128,20,14,9,0,0,12,2.10526,2041,22.0526,4.8711199999999995,0.0,0.0,3.2000000476837163,0.007374240768452485,0.004550423182081431,0.00656014250125736,0.014610862899148331,FAKE
45,216,191,130,2,42,0,50,10,10,12,1,0,7,2.27273,990,17.3636,5.18325,0.00515464,0.0,2.0,0.019063080040117104,0.0220787829409043,0.014008736703544857,0.02618918148800731,FAKE
46,297,264,165,9,39,3,80,7,3,4,0,2,10,2.3571400000000002,1284,18.8571,4.86364,0.0,0.0,2.200000047683716,0.008460508426651359,0.019915411714464426,0.008694614948970931,0.022414132187675156,FAKE
47,859,754,381,18,115,6,223,49,37,19,0,0,36,3.0882400000000003,3997,22.1765,5.30106,0.0,0.10000000149011612,9.5,0.003600205203838413,0.0056466439345967965,0.004826246241394144,0.004339901100018254,FAKE
48,280,241,147,11,36,2,77,14,6,10,0,0,9,2.4375,1177,15.0625,4.88382,0.0,0.10000000149011612,3.7999999523162837,0.009304973829005444,0.007599133718758822,0.017891239530096453,0.014486409184571943,FAKE
49,340,296,174,2,52,4,81,5,16,8,0,0,17,2.9333299999999998,1400,19.7333,4.72973,0.00668896,0.0,3.7000000476837163,0.013276040243605772,0.0075144713434080294,0.012678861198946834,0.012673932299213974,FAKE
50,913,804,406,4,133,4,209,54,46,23,6,0,64,2.47727,4003,18.2727,4.97886,0.0,0.0,10.899999618530273,0.003194848521767805,0.00646576513018873,0.0044220048002898684,0.0057423038589250715,FAKE
51,510,457,257,6,77,3,123,26,24,8,2,0,32,1.76667,2182,15.2333,4.77462,0.00652174,0.0,9.199999809265137,0.0061195698799565434,0.008495808346197009,0.0035459209595703413,0.009451358128959936,FAKE
52,358,311,190,1,70,2,79,12,14,13,7,0,34,1.7407400000000002,1476,11.5185,4.74598,0.0,0.0,8.5,0.012105069969865408,0.00648967440550526,0.007174315629526974,0.017143685254268348,FAKE
53,248,227,151,5,35,0,71,11,7,6,0,0,6,1.4,1104,15.1333,4.86344,0.0,0.10000000149011612,3.0999999046325684,0.014214070824285347,0.010877052011589209,0.01180292453084673,0.017123885364049955,FAKE
54,223,200,131,2,25,1,61,7,10,5,0,0,14,2.09091,1026,18.1818,5.13,0.00985222,0.0,2.700000047683716,0.01624869169401271,0.031806159764528275,0.0190546752884984,0.01673816806093479,FAKE
55,431,377,223,5,64,1,110,23,12,5,0,0,24,2.16,1968,15.08,5.22016,0.0,0.10000000149011612,7.800000190734862,0.007999543359296191,0.006688984017819167,0.007008803853144248,0.010074958704957148,FAKE
56,289,254,150,8,38,6,85,10,9,5,0,0,6,2.69231,1310,19.5385,5.1574800000000005,0.0,0.0,2.700000047683716,0.010547965227697905,0.00500371353700757,0.010791617279340112,0.013841834165813293,FAKE
57,277,253,149,2,55,1,69,9,3,12,0,0,12,1.6,1180,16.8667,4.66403,0.00390625,0.0,3.0,0.013200689107179642,0.013812555931508541,0.01874692101652424,0.01615901172044687,FAKE
58,387,331,194,2,49,1,100,27,10,10,0,0,14,4.30769,1560,25.4615,4.7129900000000005,0.00299401,0.0,2.700000047683716,0.006670253196110328,0.008421005273703486,0.011257364104191463,0.010152478308345262,FAKE
59,254,224,149,2,34,3,61,13,12,9,0,0,14,2.5,1154,18.6667,5.15179,0.0,-0.10000000149011612,2.5,0.01045383047312498,0.010183043777942656,0.013680782110895963,0.020300965814385563,FAKE
60,868,760,358,6,118,1,192,38,56,7,0,0,61,3.0,3621,21.1111,4.764469999999999,0.00524246,0.0,9.300000190734863,0.005051141371950507,0.004802790703251958,0.005981326423352584,0.005090392599986108,FAKE
61,378,335,174,6,52,0,85,11,19,8,0,0,26,2.38889,1619,18.6111,4.83284,0.0,0.0,5.099999904632568,0.006840653318379607,0.02677335031330585,0.008250532749419413,0.013766206265427171,FAKE
62,873,775,321,2,97,1,242,24,20,10,1,0,28,4.08333,3819,32.2917,4.92774,0.0,0.10000000149011612,3.0999999046325684,0.002809803988784552,0.0022408287846841487,0.003344637365080416,0.004986164099258829,FAKE
63,343,261,156,13,21,1,104,13,2,3,0,0,5,8.2,1224,26.1,4.68966,0.0,0.0,2.0999999046325684,0.016895037196162675,0.005357794929295778,0.006709714166142724,0.013179349470073765,FAKE
64,393,346,229,3,50,0,109,28,20,8,2,0,15,2.0434799999999997,1685,15.0435,4.86994,0.0,0.0,5.300000190734863,0.010087611415656285,0.005413244478404522,0.006681867564717929,0.011050888120995035,FAKE
65,405,354,199,13,56,2,101,19,18,7,2,0,20,2.125,1727,14.75,4.8785300000000005,0.0,0.0,4.400000095367432,0.010972760093864052,0.00870513217523694,0.008241197940978136,0.01210536995645741,FAKE
66,335,296,171,7,31,1,99,10,14,3,0,0,9,3.0,1406,22.7692,4.75,0.0,0.10000000149011612,2.200000047683716,0.009997251487913587,0.006066699246210712,0.008949611743446441,0.010902769292112102,FAKE
67,385,325,203,4,44,4,95,24,15,4,2,0,20,3.15789,1639,17.1053,5.043080000000001,0.00307692,0.0,4.300000190734863,0.014375290321186184,0.007005625482027729,0.007193743251264095,0.009964104885092149,FAKE
68,217,185,129,4,27,2,58,7,8,2,0,0,8,2.66667,920,15.4167,4.97297,0.0,-0.10000000149011612,1.7999999523162842,0.011255095154047013,0.012748439563438295,0.01657203941916426,0.02375719286501408,FAKE
69,1476,1211,505,37,245,4,290,32,109,26,25,0,144,2.5,5435,11.4245,4.48803,0.000825764,0.0,29.79999923706055,0.003909649525303394,0.005237652190650503,0.00470274392070926,0.004451206085424678,FAKE
70,389,356,211,5,40,0,117,17,11,4,0,0,15,1.7368400000000002,1765,18.7368,4.95787,0.00280899,0.20000000298023224,4.900000095367432,0.012242234777659178,0.0036174925044178963,0.012299421673210768,0.010603375164791942,FAKE
71,202,175,119,3,37,1,45,10,9,6,0,0,10,3.0,827,19.4444,4.725709999999999,0.0,0.0,1.5,0.015097277394185463,0.029072610661387444,0.016283531906083226,0.02538351435214281,FAKE
72,718,606,254,4,123,8,128,16,52,14,14,1,85,3.2941199999999995,2670,17.8235,4.40594,0.00495049,0.0,11.899999618530273,0.009418487362563609,0.00576851812989584,0.006839958618261984,0.00927659158062722,FAKE
73,501,441,238,20,57,1,147,7,7,8,0,0,12,2.8571400000000002,2098,21.0,4.75737,0.00226757,0.10000000149011612,3.7000000476837163,0.004799177062095089,0.003468590730335563,0.009291196376300204,0.00680213188752532,FAKE
74,311,273,154,3,44,1,82,13,7,7,0,0,6,2.92308,1326,21.0,4.85714,0.00732601,0.0,1.7999999523162842,0.009388599389543137,,0.010478755562669702,0.014259921759366991,FAKE
75,380,323,186,4,45,2,90,24,18,3,0,0,18,5.18182,1730,29.3636,5.35604,0.0,0.0,2.0999999046325684,0.008163399735672606,0.005794333759695292,0.008496524512090466,0.015711408928036692,FAKE
76,304,269,151,5,48,4,78,11,6,7,0,0,13,3.88889,1326,29.8889,4.92937,0.00371747,-0.10000000149011612,1.399999976158142,0.011134481833626829,0.007277957474191982,0.016261820481824025,0.014169625045421222,FAKE
77,336,301,182,3,54,4,82,14,12,8,3,0,21,2.5,1512,21.5,5.02326,0.0,0.0,3.0,0.020101150264963508,0.009966031415387988,0.008835736558669142,0.013812627972048871,FAKE
78,136,129,90,3,19,5,43,4,5,2,0,0,11,0.5,634,9.21429,4.9147300000000005,0.0465116,0.10000000149011612,2.0,0.017818051856011152,0.013244196772575378,,0.028073695255443454,FAKE
79,349,302,182,4,42,1,76,21,27,4,6,0,22,2.61111,1490,16.7778,4.93377,0.0,0.0,3.400000095367432,0.013353582429276272,0.0073768655614306535,0.012559825205244124,0.016911908963017842,FAKE
80,224,198,127,12,26,0,63,10,4,5,0,0,8,2.36364,979,18.0,4.94444,0.0,0.0,2.0,0.015882045237554446,0.012641450623050332,0.02232575733214617,0.01647089056384105,FAKE
81,260,235,133,4,32,0,85,12,2,7,0,1,9,2.27273,1196,21.3636,5.08936,0.0,0.20000000298023224,2.299999952316284,0.009191856533288956,0.0060185458511114115,0.012206902999120452,0.01609657336736009,FAKE
82,554,499,246,8,77,1,145,15,20,21,0,0,28,2.3913,2396,21.6957,4.8016,0.0,0.10000000149011612,4.5,0.00437976150715258,0.006177084695082158,0.005413328940492301,0.009268516561061872,FAKE
83,236,216,140,5,23,0,68,11,6,4,0,0,8,1.81818,999,19.6364,4.625,0.0,0.0,0.8000000119209291,0.015034691515293987,0.014694387758416791,0.013388911417375008,0.01914215025802453,FAKE
84,521,450,250,3,55,4,122,30,21,3,0,0,24,3.73684,2266,23.6842,5.03556,0.0,0.0,5.5,0.00974200065765116,0.007987423132484158,0.00974119300107387,0.005565085554761546,FAKE
85,243,215,141,1,37,2,63,12,7,7,3,0,12,2.0,1088,15.3571,5.06047,0.0,0.0,5.0,0.017253919853828847,0.009433976141735913,0.008515655877999961,0.01994853602012708,FAKE
86,198,171,111,10,27,0,53,9,3,11,0,0,3,3.375,854,21.375,4.99415,0.0,0.0,1.100000023841858,0.014865435659885406,0.011276248221596084,0.01823448960203677,0.02295270822942257,FAKE
87,201,182,119,8,30,1,48,6,13,4,0,0,8,1.58333,807,15.1667,4.434069999999999,0.0,0.0,1.8999999761581419,0.030956663773395118,0.009954961016774178,0.01614991596971567,0.022370497696101662,FAKE
88,192,173,108,1,30,0,47,16,2,7,0,0,10,1.9,860,17.3,4.9711,0.0,0.10000000149011612,2.900000095367432,0.0131729271573325,0.018033447675406933,0.028847248293459412,0.030410663535197575,FAKE
89,390,368,213,5,58,3,106,22,13,7,0,0,25,1.22222,1875,20.4444,5.09511,0.0,0.0,3.7999999523162837,0.008399577578529716,,0.009910230059176685,0.011031191536368659,FAKE
90,183,152,114,1,21,1,53,8,3,2,0,0,7,2.81818,812,13.8182,5.34211,0.0,0.20000000298023224,2.5999999046325684,,0.010081100588043531,0.012095043435692787,0.028434729669243094,FAKE
92,200,165,115,2,29,0,46,5,11,3,4,0,21,3.18182,718,15.0,4.35152,0.0,0.0,2.900000095367432,0.03255106206052006,0.011407047975808382,0.020868292078375816,0.024265625429424374,FAKE
93,570,522,289,7,81,2,150,35,22,20,0,0,19,1.77778,2587,19.3333,4.95594,0.0,0.0,4.800000190734863,0.006302558760768896,0.011650201398879291,0.006018862191757018,0.009247887000862149,FAKE
94,247,228,139,4,32,1,68,12,12,2,0,0,10,1.35714,1175,16.2857,5.15351,0.00438596,0.0,3.7999999523162837,0.00930034282750317,0.015277351019904016,0.01628266223188904,0.019496121181873605,FAKE
95,392,335,212,7,51,1,103,20,14,8,0,0,11,4.07143,1688,23.9286,5.03881,0.00298507,0.0,2.0999999046325684,0.009387320007330604,0.0134251790586859,0.007473067070047061,0.01019068942696322,FAKE
96,174,157,97,3,16,1,55,5,7,0,0,0,3,1.54545,744,14.2727,4.73885,0.0,0.10000000149011612,1.6000000238418581,0.015606478787958622,0.014559393282979729,0.019454130104609897,0.027023005891929974,FAKE
97,227,187,131,0,32,1,53,7,9,4,1,0,22,3.07692,866,14.3846,4.6310199999999995,0.0,0.10000000149011612,3.7999999523162837,0.022213374574979145,0.015257665421813725,,0.026940870260738808,FAKE
98,574,474,278,4,79,3,140,23,25,8,3,0,26,3.5714300000000003,2156,16.9286,4.54852,0.0147679,0.0,6.5999999046325675,0.005728647866121986,0.005741869565099478,0.012219385321562491,0.005634162846642236,FAKE
99,96,85,63,2,11,0,27,1,1,1,0,0,2,1.5714299999999999,400,12.1429,4.7058800000000005,0.0,0.0,1.8999999761581419,0.025959224750598267,0.02216771058738232,0.017695029266178608,0.040539364076473496,FAKE
100,304,275,170,0,45,1,88,9,8,8,0,0,18,1.8125,1344,17.1875,4.88727,0.00363636,0.0,3.400000095367432,0.01323129365650507,0.008625492764015993,0.01051936992444098,0.014164371260752281,FAKE
101,179,152,101,7,23,0,52,6,2,2,0,0,3,3.8571400000000002,812,21.7143,5.34211,0.0,0.10000000149011612,1.0,0.019589623579612143,0.017664600163698196,0.016025002838836774,0.029575184686109424,FAKE
102,347,311,178,3,46,0,87,19,5,7,0,0,13,2.0,1427,17.2778,4.588419999999999,0.0,0.0,1.7000000476837158,0.01760962595128351,0.009202039673585785,0.015899786725640297,0.012343093126009291,FAKE
103,176,160,94,1,29,0,48,2,7,7,0,0,9,1.77778,754,17.7778,4.7125,0.0,0.0,1.8999999761581419,0.0201456987165979,0.011451328173279762,0.03200853057205677,0.02148959143087268,FAKE
104,617,560,309,7,110,5,120,38,35,20,2,1,62,1.32558,2565,13.0233,4.58036,0.0,0.0,12.699999809265135,0.007674717409018841,0.006283757897714774,0.007677135922546897,0.010064918818252704,FAKE
105,842,720,371,18,94,0,210,18,36,9,1,0,27,3.69697,3343,21.8182,4.64306,0.0,0.0,7.9000000953674325,0.004965674028628402,0.003394968358666769,0.005938086514582946,0.005116723337339172,FAKE
106,291,248,161,11,34,0,80,6,8,3,1,0,17,3.58333,1188,20.6667,4.7903199999999995,0.0,0.0,1.8999999761581419,0.015929303714074194,0.011437292133147516,0.008203540501805644,0.0163551558740437,FAKE
107,405,347,198,5,68,4,100,18,17,6,1,0,16,2.5217400000000003,1736,15.087,5.00288,0.0,0.0,4.900000095367432,0.012580632086610422,0.0061094462871551505,0.005864712452007966,0.012299117801541632,FAKE
108,200,182,121,8,35,0,55,3,11,3,0,0,15,2.57143,822,26.0,4.5164800000000005,0.00549451,0.0,2.400000095367432,0.02172078218843256,,0.01998707910792695,0.022330860822246626,FAKE
109,436,385,210,14,52,0,120,7,11,9,0,0,11,2.6842099999999998,1847,20.2632,4.7974,0.0,0.10000000149011612,5.0,0.007827414720154859,0.005158258707855235,0.008695305514265783,0.010175753077159502,FAKE
110,225,191,130,12,33,1,64,1,3,6,0,0,5,3.4,934,19.1,4.89005,0.0,0.0,2.0,0.015655700815841556,0.011118404567241669,0.01679533339020881,0.019759583892300724,FAKE
111,248,230,137,0,45,1,59,10,19,7,0,0,13,1.38462,1052,17.6923,4.57391,0.0,0.0,3.5,0.01580586055150399,0.011794897727668284,0.009057113900780678,0.033545554276894436,FAKE
112,173,162,116,2,24,2,48,8,9,6,0,0,9,1.22222,811,18.0,5.00617,0.0,0.0,1.6000000238418581,0.020044025565896715,0.011276941125591595,0.016586477868258953,0.03322811358209167,FAKE
113,376,352,214,3,45,6,96,24,12,8,0,1,22,1.5,1655,22.0,4.7017,0.0,0.10000000149011612,3.0,0.007550391880795358,0.005940367467701435,0.009809384029358626,0.012634458826281704,FAKE
114,384,332,191,2,49,3,95,14,13,7,0,0,13,4.72727,1743,30.1818,5.25,0.0,0.0,1.8999999761581419,0.012053294107317923,0.0073391435435041785,0.0114705765619874,0.009417680753885129,FAKE
115,281,253,156,6,37,2,76,6,6,4,3,0,19,2.33333,1177,21.0833,4.65217,0.0,0.0,1.6000000238418581,0.014695625705644488,0.007962243321041266,0.009936370848057171,0.01855106884613633,FAKE
116,353,315,203,8,58,3,78,11,28,8,0,1,25,1.46154,1498,12.1154,4.75556,0.0,0.0,4.800000190734863,0.011661334615200756,0.005949325626716018,0.008647535720633136,0.015513496492834141,FAKE
117,341,312,184,3,30,0,95,12,9,3,0,0,12,2.41667,1602,26.0,5.13462,0.0,0.0,1.5,0.010450168792158366,,0.010765228957797471,0.012094845263553516,FAKE
118,273,240,166,5,33,0,72,22,10,8,0,0,5,2.75,1249,20.0,5.2041699999999995,0.0,0.0,3.5999999046325684,0.013320994408180315,0.013907929509878158,0.011369889660272749,0.016887452095173873,FAKE
119,328,287,174,7,37,0,88,14,8,7,1,0,16,4.55556,1332,31.8889,4.64112,0.0,0.0,1.0,0.015410171511272587,0.0075402522925287485,0.007325961587152311,0.01318349118810147,FAKE
120,677,596,356,10,89,5,167,24,36,10,0,1,47,2.6129,2778,19.2258,4.66107,0.00167785,0.10000000149011612,9.300000190734863,0.007315869456053608,0.004712853218532271,0.004572578434211512,0.0075816023396328095,FAKE
121,356,333,207,2,70,3,85,18,14,15,0,0,26,1.4375,1616,20.8125,4.85285,0.0,0.0,4.099999904632568,0.00889495862647891,0.008166725902507702,0.006859165267087519,0.016105844965204598,FAKE
122,228,203,117,1,22,0,62,21,5,4,0,0,3,2.77778,1031,22.5556,5.0788199999999994,0.0,0.0,1.7999999523162842,0.018233484854655608,0.008379660236338774,0.01639791135676205,0.02240559714846313,FAKE
123,661,594,325,4,108,13,153,21,38,6,7,0,71,1.48889,2632,13.2,4.43098,0.0,0.0,14.100000381469727,0.007387303387407552,0.003945923310571483,0.006455475627444684,0.007292022028736569,FAKE
124,342,282,184,18,26,1,102,9,9,2,0,0,11,5.0,1381,23.5,4.8971599999999995,0.0035461,0.0,2.299999952316284,0.008612270932644606,0.00752197504043579,0.009005171986406341,0.009889140981249513,FAKE
125,230,206,140,3,24,1,68,6,5,5,0,0,14,2.18182,1000,18.7273,4.854369999999999,0.00485437,0.10000000149011612,3.2000000476837163,0.009878808399662377,0.0069692181423306465,0.00825722919156154,0.013108428966786179,FAKE
126,543,470,256,3,80,4,124,28,30,16,1,0,39,3.17391,2374,20.4348,5.05106,0.0,0.0,6.0999999046325675,0.008245945360977202,0.007153661844010155,0.008343624242115766,0.008513619158683079,FAKE
127,493,443,237,2,60,3,118,20,20,7,5,3,36,2.5,2322,22.15,5.2415400000000005,0.00902935,0.0,5.199999809265137,0.01091946999076754,0.008047073381021619,0.0073502485585563325,0.012142484231541555,FAKE
128,469,405,220,4,61,1,121,10,15,8,1,1,31,2.90909,1857,18.4091,4.58519,0.00246914,0.0,4.0,0.004490515979176218,0.005756290350109339,0.008086898543227177,0.010656713806383777,FAKE
129,337,303,183,1,50,4,93,17,11,9,1,0,15,2.61538,1594,23.3077,5.260730000000001,0.00330033,0.10000000149011612,3.0,0.007620106093012368,0.01091948919929564,0.0116407610476017,0.013185910130333569,FAKE
130,498,437,260,5,72,4,122,32,19,8,0,1,27,2.54167,2161,18.2083,4.94508,0.00915332,0.10000000149011612,5.300000190734863,0.006975922293754089,0.004357119440101087,0.008390777045860888,0.010209919013563664,FAKE
131,342,309,170,0,49,4,92,14,6,9,0,0,20,2.3571400000000002,1463,22.0714,4.73463,0.0,0.0,3.7999999523162837,0.006487510710333784,0.014642404724976844,0.014220668841153384,0.010996221956845959,FAKE
132,369,314,199,4,44,2,99,10,13,3,2,0,20,3.66667,1476,20.9333,4.70064,0.00318471,-0.10000000149011612,3.900000095367432,0.007851346196340663,0.009436232170888357,0.008785276709554287,0.011846057569178252,FAKE
133,1559,1378,598,15,286,18,330,40,96,56,28,3,173,1.88542,6174,14.3542,4.48041,0.0,0.0,28.10000038146973,0.002886599871357355,0.003491812200723764,0.0030942626984878665,0.003486734186059113,FAKE
134,282,260,157,8,40,2,74,17,10,7,0,0,9,1.83333,1255,21.6667,4.826919999999999,0.0,0.0,2.0,0.015752887568221643,0.012895615150531134,0.020362629399945337,0.011779350694268942,FAKE
135,338,302,173,3,34,0,87,20,14,2,3,0,18,2.76923,1522,23.2308,5.03974,0.0,0.10000000149011612,3.7999999523162837,0.005063082790002228,0.014351925167899866,0.00867856094347579,0.014950743255515894,FAKE
136,367,335,192,6,37,0,105,7,5,3,0,0,11,2.13333,1553,22.3333,4.63582,0.0,0.10000000149011612,2.900000095367432,0.005959291787197192,0.009417236209488831,0.009985890169627963,0.011373973868709678,FAKE
137,536,463,268,18,55,1,159,12,18,15,0,0,18,3.3181800000000004,2325,21.0455,5.0216,0.00215983,0.10000000149011612,3.7999999523162837,0.004739069791797262,0.0048661482869647435,0.0063193374779075395,0.006776133920489387,FAKE
